vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
MERCEDES-BENZ,C 300 e,SEDAN 4 PUERTAS,4x2,MERCEDES-BENZ 274.920 / EM motive EM0012,1991,155,AUTOMATICA,ELECTRICIDAD,408,,9/8/2019,42.04.1449.00,TÜV NORD Mobil,155,2,4,23,23
MERCEDES-BENZ,E 300 e,SEDAN 4 PUERTAS,4x2,MERCEDES-BENZ 274.920 / EM-motive EM0012,1991,155,AUTOMATICA,ELECTRICIDAD,411,,9/8/2019,42.04.1449.00,TÜV NORD Mobil,152,2,4,23,23
TOYOTA,RAV4,SUV,4x4,TOYOTA A25A-FXS / TOYOTA 3NM (DELANTERO) - 4NM (TRASERO),2487,,AUTOMATICA,ELECTRICIDAD,260,,28/03/2019,H1860670248/509,VINÇOTTE nv,130,6,511,485,483
PEUGEOT / CITROEN,301 / C-ELYSÉE ,BERLINA 4 PUERTAS,4X2,PEUGEOT / CITROEN DV6TED (9HP) ,1560,,MANUAL,GAS OIL,EURO V,,18/08/2016,13/08906,UTAC,140,6,49,39,43
CITROEN,C4 LOUNGE,BERLINA 4 PUERTAS,4x2,PSA PEUGEOT CITROEN DV6C (9HD),1560,82,MANUAL,GAS OIL,EURO V,,16/05/2019,OT833,LCEGV,16108,7,557,61,61
HONDA,PILOT,RURAL,4x2,HONDA J35Y6,3471,205,MANUAL,NAFTA,428,,1/8/2019,H1960552835/038,VINÇOTTE nv,238,7,128,98,98
HONDA,PILOT TOURING,RURAL,4x4,HONDA J35Y6,3471,205,MANUAL,NAFTA,430,,2/8/2019,H1960552835/038,VINÇOTTE nv,238,7,128,98,98
MERCEDES-BENZ,VITO 111 CDI,FURGON,4x2,RENAULT (MERCEDES-BENZ) R9M?502 (OM622),1598,84,AUTOMATICA,GAS OIL,416,,13/08/2019,42.04.527.00,TÜV NORD Mobil,1725,8,57,65,65
AUDI,A1 – A1 SPORTBACK,HATCHBACK 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI CZPC,1984,147,AUTOMATICA,NAFTA,EURO VI,895,26/07/2021,AUA5888B,ATE EL,143,8,53,63,63
FIAT,STRADA VOLCANO 1.3 CD (R16),PICK UP,4x2,FIAT 55282059,1332,73,MANUAL,NAFTA,EURO V,694,23/07/2020,2200154,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,1632,9,59,71,71
