Barrio;Oferta 35 mt2;1AMB m2/usado;Alquiler $ (hasta 35 mt2)
Abasto;2;2,185;12,500
Agronomia;2;2,116;15,000
Almagro;20;2,314;14,000
Balvanera;21;2,166;16,633
Barracas;1;2,048;10,000
Belgrano;27;2,757;12,900
La Boca;3;1,669;10,666
Boedo;5;2,225;11,566
Caballito;22;2,348;12,166
Chacarita;1;2,443;18,000
Coghlan;1;2,729;18,000
Colegiales;4;2,599;16,000
Congreso;7;1,930;13,500
Constitucion;5;1,901;11,333
Flores;5;2,042;11,166
Floresta;16;2,105;13,500
La Paternal;4;2,082;14,666
Liniers;8;2,105;11,000
Mataderos;3;1,820;10,000
Monte Castro;6;2,108;13,333
Montserrat;6;2,567;11,100
Nunez;3;2,696;15,000
Once;1;2,185;0
Palermo;82;2,949;18,500
Parque Avellaneda;2;1,753;12,000
Parque Centenario;2;2,515;16,000
Parque Chacabuco;7;2,110;17,666
Parque Chas;0;2,132;0
Parque Patricios;2;1,864;11,000
Paternal;5;2,082;13,503
Pompeya;3;1,946;11,000
Puerto Madero;2;4,966;30,000
Recoleta;54;2,784;15,166
Retiro;6;2,537;15,166
Saavedra;7;2,186;12,500
San Cristobal;7;2,016;11,666
San Nicolas;11;2,425;12,300
San Telmo;8;2,163;14,500
Vélez Sarsfield;3;1,805;13,333
Versalles;0;1,170;0
Villa Crespo;26;2,337;15,500
Villa del Parque;17;2,094;12,666
Villa Devoto;18;2,151;14,966
Villa Gral. Mitre;0;1,917;0
Villa Lugano;1;1,470;14,000
Villa Luro;3;1,977;11,166
Villa Ortuzar;2;2,304;12,500
Villa Pueyrredon;13;2,126;12,800
Villa Santa Rita;1;2,000;12,000
Villa Urquiza;30;2,365;14,166
