No.;Ticket ID;Current Status;Title;Open Time @Timezone;Resolved Time @Timezone;Close Time @Timezone;Master/ Child;CI Name;CI ID;CI Type;CI Subtype;CI Location;CI Environment;Layer 1;Layer 2;Layer 3;Ticket Type;Update Time @Timezone;Service Class;Prio;Impact;Urgency;Cause Code;Reference ID;Location;Department;Call Code;Reported Date @Timezone;VW Completion Group;Active Flag;Open Group;Closed Group;Resolved Group;Current Assignment;VW Solution ID;Marked as Knowledge Candidate;VW Outage Time From;VW Outage Time To;External;History Assignment;History Previous Assignment;History Post Assignment;History Status;History Start Time;History End Time;History Transfer ID
1;IM52668161;Closed;There are MAJOR alarm on VWARANUVPS201.sa.vwg - ***SAP ARGENTINA*** - ***Grupo Solucionador - AMS SAP UNIT Basis Support Argentina / SAP SOLMAN 7.1 - UNIT ARG Production System*** DISK THRESHOLD EXCEEDED;07/10/2016 15:09:35;07/10/2016 17:12:58;07/10/2016 17:13:12;Master;VWARANUVPS201;CI2345110;SW Server Logical;HP-UX;VW do Brasil;;not relevant;;;Incident;07/10/2016 17:13:12;3;6;4;3;;;VW do Brasil;B-FI;SysMgmt Tools;;OPS Open Systems Monitoring VWdB MAN-LA;1;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;;f;;;;AMS SAP UNIT Basis  Support Argentina;OPS Open Systems Monitoring VWdB MAN-LA;AMS SAP UNIT Basis  Support Argentina;Transferred;07/10/2016 15:30:47;;1
2;IM52668161;Closed;There are MAJOR alarm on VWARANUVPS201.sa.vwg - ***SAP ARGENTINA*** - ***Grupo Solucionador - AMS SAP UNIT Basis Support Argentina / SAP SOLMAN 7.1 - UNIT ARG Production System*** DISK THRESHOLD EXCEEDED;07/10/2016 15:09:35;07/10/2016 17:12:58;07/10/2016 17:13:12;Master;VWARANUVPS201;CI2345110;SW Server Logical;HP-UX;VW do Brasil;;not relevant;;;Incident;07/10/2016 17:13:12;3;6;4;3;;;VW do Brasil;B-FI;SysMgmt Tools;;OPS Open Systems Monitoring VWdB MAN-LA;1;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;OPS Open Systems Monitoring VWdB MAN-LA;;f;;;;AMS SAP UNIT Basis  Support Argentina;AMS SAP UNIT Basis  Support Argentina;OPS Open Systems Monitoring VWdB MAN-LA;Working;07/10/2016 15:41:46;07/10/2016 15:44:08;1
3;IM53210180;Closed;MDA VWA - PH SAP SYSTEM - ALTA DE USUARIO DE SAP P04;11/11/2016 11:58:03;14/11/2016 11:46:42;02/01/2018 10:04:29;;PH SAP SYSTEM;CI1087347;SW SAP;SAP System;VW Argentina/59-Pacheco;;Information;;;Service Request;02/01/2018 10:05:43;2;8;4;2;;;CIC;0001;Phone ;;OPS SD Service Desk Argentina;1;OPS SD Service Desk Argentina;OPS SD Service Desk Argentina;OPS SAP Rights Support Argentina;OPS SD Service Desk Argentina;;f;;;;OPS SAP Rights Support Argentina;OPS SD Service Desk Argentina;OPS SAP Rights Support Argentina;Transferred;11/11/2016 12:10:28;11/11/2016 13:06:52;1
4;IM53210180;Closed;MDA VWA - PH SAP SYSTEM - ALTA DE USUARIO DE SAP P04;11/11/2016 11:58:03;14/11/2016 11:46:42;02/01/2018 10:04:29;;PH SAP SYSTEM;CI1087347;SW SAP;SAP System;VW Argentina/59-Pacheco;;Information;;;Service Request;02/01/2018 10:05:43;2;8;4;2;;;CIC;0001;Phone ;;OPS SD Service Desk Argentina;1;OPS SD Service Desk Argentina;OPS SD Service Desk Argentina;OPS SAP Rights Support Argentina;OPS SD Service Desk Argentina;;f;;;;OPS SAP Rights Support Argentina;OPS SAP Rights Support Argentina;OPS SD Service Desk Argentina;Working;11/11/2016 13:06:52;;2
5;IM53254856;Closed;W59 - SAP UNIT - RECEPCIÓN - Contabilización de viajes;15/11/2016 07:43:33;16/11/2016 10:16:22;16/11/2016 12:21:21;;FIS-W59 (P-59);CI1310668;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Process;;;Incident;16/11/2016 12:23:09;1;4;4;1;;;;F/itp-op;E-mail;14/11/2016 14:01:00;OPS FIS Service Desk Argentina;1;OPS FIS Service Desk Argentina;OPS FIS Service Desk Argentina;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;;f;;;;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;AMS SAP UNIT Inbound MM Support Argentina;Transferred;15/11/2016 07:49:17;;1
6;IM53254856;Closed;W59 - SAP UNIT - RECEPCIÓN - Contabilización de viajes;15/11/2016 07:43:33;16/11/2016 10:16:22;16/11/2016 12:21:21;;FIS-W59 (P-59);CI1310668;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Process;;;Incident;16/11/2016 12:23:09;1;4;4;1;;;;F/itp-op;E-mail;14/11/2016 14:01:00;OPS FIS Service Desk Argentina;1;OPS FIS Service Desk Argentina;OPS FIS Service Desk Argentina;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;;f;;;;AMS SAP UNIT Inbound MM Support Argentina;AMS SAP UNIT Inbound MM Support Argentina;AMS SAP UNIT Inbound MM Support Argentina;Working;15/11/2016 07:58:04;15/11/2016 07:58:04;2
7;IM53254856;Closed;W59 - SAP UNIT - RECEPCIÓN - Contabilización de viajes;15/11/2016 07:43:33;16/11/2016 10:16:22;16/11/2016 12:21:21;;FIS-W59 (P-59);CI1310668;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Process;;;Incident;16/11/2016 12:23:09;1;4;4;1;;;;F/itp-op;E-mail;14/11/2016 14:01:00;OPS FIS Service Desk Argentina;1;OPS FIS Service Desk Argentina;OPS FIS Service Desk Argentina;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;;f;;;;AMS SAP UNIT Inbound MM Support Argentina;AMS SAP UNIT Inbound MM Support Argentina;AMS SAP UNIT Inbound MM Support Argentina;Working;16/11/2016 10:15:02;16/11/2016 10:16:22;3
8;IM53254856;Closed;W59 - SAP UNIT - RECEPCIÓN - Contabilización de viajes;15/11/2016 07:43:33;16/11/2016 10:16:22;16/11/2016 12:21:21;;FIS-W59 (P-59);CI1310668;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Process;;;Incident;16/11/2016 12:23:09;1;4;4;1;;;;F/itp-op;E-mail;14/11/2016 14:01:00;OPS FIS Service Desk Argentina;1;OPS FIS Service Desk Argentina;OPS FIS Service Desk Argentina;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;;f;;;;AMS SAP UNIT Inbound MM Support Argentina;AMS SAP UNIT Inbound MM Support Argentina;OPS FIS Service Desk Argentina;Resolved;16/11/2016 10:16:22;16/11/2016 12:21:22;1
9;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;OPS SD Service Desk Argentina;AMS ET2000 SD Support Argentina;Transferred;05/01/2017 17:22:17;06/01/2017 09:37:43;1
10;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;Working;06/01/2017 09:37:43;06/01/2017 17:37:36;2
11;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;Wait on External;06/01/2017 17:37:36;17/01/2017 19:03:04;1
12;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS SAP Incident Manager Argentina;Working;17/01/2017 19:03:04;26/06/2017 10:44:44;3
13;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS SAP Incident Manager Argentina;AMS ET2000 SD Support Argentina;Transferred;26/06/2017 10:45:41;26/06/2017 10:45:51;3
14;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;Working;26/06/2017 10:45:51;26/06/2017 10:47:22;5
15;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;Wait on External;26/06/2017 10:47:22;26/07/2017 22:25:05;2
16;IM54024689;Wait on External;PH SAP SYSTEM - ERROR EN REPORTE;05/01/2017 17:18:44;;;;SAP SD (P-59);CI2385778;Application;Application Instance;VW Argentina/59-Pacheco;1. Prod;Special Tasks;;;Service Request;01/07/2019 10:23:33;2;8;4;2;;A825;;0001;E-mail;;OPS SD Service Desk Argentina;0;OPS SD Service Desk Argentina;;;AMS ET2000 SD Support Argentina;;f;;;;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;AMS ET2000 SD Support Argentina;Working;26/07/2017 22:25:05;28/07/2017 16:10:29;6
