Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM52668161;07/10/2016 15:09;07/10/2016 17:12
IM52668161;07/10/2016 15:09;07/10/2016 17:12
IM53210180;11/11/2016 11:58;14/11/2016 11:46
IM53210180;11/11/2016 11:58;14/11/2016 11:46
IM53254856;15/11/2016 07:43;16/11/2016 10:16
IM53254856;15/11/2016 07:43;16/11/2016 10:16
IM53254856;15/11/2016 07:43;16/11/2016 10:16
IM53254856;15/11/2016 07:43;16/11/2016 10:16
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM54024689;05/01/2017 17:18;
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM55067901;01/03/2017 11:30;22/06/2017 15:39
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59069924;11/10/2017 14:08;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM59440682;31/10/2017 16:38;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61079920;31/01/2018 22:58;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM61579926;27/02/2018 13:06;
IM62261432;06/04/2018 01:16;09/04/2018 11:56
IM62261432;06/04/2018 01:16;09/04/2018 11:56
IM62261432;06/04/2018 01:16;09/04/2018 11:56
IM62261432;06/04/2018 01:16;09/04/2018 11:56
IM62261432;06/04/2018 01:16;09/04/2018 11:56
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62277348;06/04/2018 11:09;
IM62332487;10/04/2018 07:46;
IM62332487;10/04/2018 07:46;
IM62332487;10/04/2018 07:46;
IM62332487;10/04/2018 07:46;
IM62332487;10/04/2018 07:46;
IM62334108;10/04/2018 08:09;
IM62334108;10/04/2018 08:09;
IM62334108;10/04/2018 08:09;
IM62334108;10/04/2018 08:09;
IM62334108;10/04/2018 08:09;
IM62334108;10/04/2018 08:09;
IM62369126;11/04/2018 16:53;
IM62369126;11/04/2018 16:53;
IM62369126;11/04/2018 16:53;
IM62479319;17/04/2018 16:00;
